Idade,Grau de escolaridade,Estado civil,"Estado onde mora atualmente ( SIGLA ) Exemplo PR, GO, SC",Você trabalha atualmente?,Qual é sua faixa salarial mensal?,"Qual é a sua principal queixa hoje em relação à sua pele, cabelo ou aparência? Exemplo: acne, manchas, ressecamento, oleosidade, queda de cabelo, estrias, cicatrizes (Selecione todas as opções que se aplicam)",Há quanto tempo isso te incomoda?,Como você classificaria o impacto disso na sua autoestima?,Você já usa algum produto de beleza?,Quais produtos de beleza você usa atualmente? (Selecione todas as opções que se aplicam),Quais cuidados de beleza você faz hoje? (Selecione todas as opções que se aplicam),"Se você pudesse comprar uma solução que resolvesse seu problema estético, você compraria?",Até quanto você estaria disposto(a) a pagar para resolver esse problema?,"Se faz faculdade ou especialização qual curso ? Se a reposta for NÃO, digite apenas NÃO",Você faz faculdade ou especialização atualmente?,Já fez algum tratamento profissional para resolver essa queixa?
46,Ensino Médio completo,Divorciado,BA,Sim,4.000 – 5.000,Ressecamento; Manchas; Queda de cabelo; Acne,1 mês,Alto,Sim,Hidratante; Protetor solar; Sérum,Atividade física; Dieta; Skincare,SIM,R$101 – R$200,Não,Sim,Não
32,Ensino Superior completo,Divorciado,SP,Sim,5.000 – 7.000,Ressecamento; Queda de cabelo; Manchas,1 ano,Alto,Não,Sérum; Protetor solar; Hidratante,Dieta; Atividade física; Skincare,SIM,R$301 – R$500,Não,Não,Não
25,Ensino Superior completo,Divorciado,RJ,Sim,4.000 – 5.000,Queda de cabelo; Acne,2 anos,Médio,Sim,Sérum; Protetor solar,Atividade física; Skincare,SIM,R$301 – R$500,Não,Não,Não
38,Ensino Fundamental completo,Casado,SC,Sim,Acima de 7.000,Manchas; Oleosidade; Queda de cabelo; Ressecamento,1 mês,Baixo,Sim,Sérum; Protetor solar; Hidratante,Atividade física; Skincare; Dieta,SIM,R$301 – R$500,Não,Sim,Não
36,Ensino Superior completo,Solteiro,GO,Sim,5.000 – 7.000,Acne; Queda de cabelo; Oleosidade,2 anos,Alto,Sim,Sérum; Hidratante; Protetor solar,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Não,Não,Não
40,Ensino Médio completo,Casado,GO,Não,5.000 – 7.000,Oleosidade; Ressecamento,1 mês,Alto,Sim,Hidratante; Protetor solar,Skincare; Atividade física,SIM,R$201 – R$300,Direito,Sim,Sim
28,Ensino Superior completo,Casado,DF,Sim,5.000 – 7.000,Acne; Queda de cabelo; Oleosidade; Manchas; Ressecamento,3 meses,Médio,Sim,Protetor solar; Hidratante; Sérum,Atividade física; Dieta; Skincare,NÃO,Até R$100,Direito,Não,Sim
28,Ensino Superior incompleto,União Estável,SP,Sim,Acima de 7.000,Acne; Oleosidade; Queda de cabelo; Manchas,3 meses,Alto,Não,Hidratante; Protetor solar; Sérum,Dieta; Skincare; Atividade física,SIM,R$301 – R$500,Medicina,Sim,Não
41,Mestrado,Solteiro,GO,Sim,Acima de 7.000,Acne; Ressecamento; Manchas; Oleosidade; Queda de cabelo,1 ano,Médio,Não,Protetor solar; Sérum; Hidratante,Skincare; Atividade física; Dieta,SIM,R$301 – R$500,Direito,Sim,Sim
53,Ensino Fundamental completo,Divorciado,GO,Sim,5.000 – 7.000,Queda de cabelo; Oleosidade,1 mês,Baixo,Não,Hidratante; Sérum,Dieta; Skincare,SIM,R$301 – R$500,Não,Sim,Sim
